1.28, 3.92, 5.29, -1.01
2.17, 4.35, 5.02, -0.98
-0.37, 2.09, 5.02, -0.99
0.83, 5.01, 5.50, -1.02
-0.13, 3.08, 5.84, -1.13
-0.02, 1.93, 5.07, -1.19
1.89, 0.94, 4.93, -1.27
1.34, 2.70, 5.07, -1.42
0.74, 3.46, 5.30, -1.39
0.99, 4.43, 5.27, -1.36
1.15, 4.32, 5.10, -1.43
2.24, 1.74, 4.96, -1.50
1.30, -0.43, 4.63, -1.64
1.17, 0.37, 4.66, -1.65
0.79, 2.07, 4.16, -1.91
-0.71, 2.63, 4.19, -1.94
0.06, 1.34, 4.11, -2.09
3.46, 3.07, 4.48, -2.15
3.43, 3.00, 3.72, -2.34
2.91, 3.14, 4.40, -2.36
1.90, 3.58, 4.09, -2.43
2.96, 4.34, 3.73, -2.61
3.93, 2.56, 4.31, -2.55
1.43, -0.13, 3.90, -2.66
3.65, 3.25, 4.23, -2.64
2.45, 3.65, 3.80, -2.73
3.05, 4.43, 4.27, -2.82
3.10, 4.42, 3.58, -3.03
3.60, 3.13, 3.31, -3.21
4.48, 3.33, 3.21, -3.69
3.70, 3.38, 2.65, -4.18
2.85, 3.61, 2.67, -4.19
1.78, 3.35, 2.76, -4.11
4.63, 2.84, 2.48, -4.19
5.19, 1.70, 2.46, -4.27
4.04, 2.05, 2.45, -4.34
5.38, 3.61, 2.36, -4.40
3.57, 3.72, 2.23, -4.42
3.67, 2.75, 2.23, -4.47
3.60, 2.16, 2.13, -4.58
3.68, 2.71, 2.06, -4.54
4.67, 3.20, 1.98, -4.60
0.67, 0.78, 1.90, -4.59
0.55, 1.18, 1.90, -4.57
3.28, 1.50, 1.81, -4.63
1.23, -0.11, 1.74, -4.60
6.07, 3.62, 1.66, -4.66
2.83, 2.54, 1.54, -4.66
3.56, 3.53, 1.40, -4.73
4.99, 2.70, 1.37, -4.88
2.66, 0.02, 1.30, -4.87
3.88, 1.09, 1.27, -4.97
3.56, 1.04, 1.20, -4.98
0.36, 0.74, 1.25, -5.00
1.92, 2.01, 1.22, -5.15
6.61, 2.62, 1.15, -5.33
7.51, 2.26, 1.01, -5.38
3.10, 0.22, 1.02, -5.43
4.37, 1.98, 0.83, -5.38
7.69, 3.20, 0.83, -5.55
6.17, 2.56, 0.85, -5.57
